index_hex,snes_addr,bank,label,category,text_preview
0D2,B78000,B7,Text_0D2_Dialog_MyUncleLikedMakeFriends,Dialog,My uncle liked you. Please make friends with him.OK? OK No<CHOICE_OR_WAIT>c
0D3,B780AE,B7,Text_0D3_Dialog_GladExcuseHimBeingMeddlesome,Dialog,Really? I'm glad. Please excuse him for being meddlesome. I guess he gets that from my mother.
0D4,B78184,B7,Text_0D4_Dialog_HesStrictButBasicallyGood,Dialog,He's strict but basically a good person.
0D5,B781D6,B7,Text_0D5_Dialog_TooSoakedMightCatchCold,Dialog,Oh no: you are too soaked. You might catch a cold unless you dry yourself soon.
0D6,B78282,B7,Text_0D6_Dialog_ComeDadLetsGoHomenow,Dialog,Oh:come on:Dad.Let's go homenow.
0D7,B782C4,B7,Text_0D7_Dialog_OtherwiseMomGetMad,Dialog,Otherwise Mom will get really mad at you.
0D8,B78322,B7,Text_0D8_Animal_TasteMyNewCakeBaked,Animal,Will you taste my new cake when it's baked?
0D9,B7837C,B7,Text_0D9_Dialog_BakedNewCakeHaveBite,Dialog,Hey:I baked a new cake. Will you have a bite? Yes No<CHOICE_OR_WAIT>c
0DA,B78422,B7,Text_0DA_Sign_GoodCheesecakeThinkGoodEnough,Sign,Is it good? It's a cheesecake. Do you think it's good enough to sell at the shop?
0DB,B784DE,B7,Text_0DB_Romance_LookPrettyBusyHopeEverythings,Romance,You look pretty busy. I hope everything's well with you.
0DC,B78562,B7,Text_0DC_Dialog_CoincidenceMeetC,Dialog,Oh:what a coincidence to meet you here. Yes No<CHOICE_OR_WAIT>c
0DD,B785FA,B7,Text_0DD_Dialog_TeeHee,Dialog,Tee-hee...
0DE,B78610,B7,Text_0DE_Shop_WowCoincidenceWereWaitingMe,Sign,Wow:what a coincidence. Hey:were you waiting for me here? Titter...I'm waiting for youat the bar.
0DF,B786E2,B7,Text_0DF_Sign_CameShopSorryButToo,Sign,Hi.I just came to shop. Sorry:but I'm in too much ofa hurry to see you.
0E0,B7877A,B7,Text_0E0_Weather_CameRainGlad,Weather,You came here in this rain? I'm so glad.
0E1,B787CC,B7,Text_0E1_Dialog_GrandPaStrict,Dialog,Grand-pa is so strict...
0E2,B787FE,B7,Text_0E2_Dialog_PrettyDaringShallWashBack,Dialog,You are pretty daring: aren't you? Shall I wash your back? Yes N..N..No<CHOICE_OR_WAIT>c
0E3,B788D2,B7,Text_0E3_Dialog_Kidding,Dialog,Hey: I'm just kidding.
0E4,B78900,B7,Text_0E4_Dialog_HeeHee,Dialog,Hee-hee: I won't do it.
0E5,B78930,B7,Text_0E5_Dialog_LookFineToday,Dialog,Hi. You look fine today.
0E6,B78962,B7,Text_0E6_Dialog_MyHomeMadeFruitJuice,Dialog,It's my home made fruit juice. Do you want it? Yes No thank you<CHOICE_OR_WAIT>c
0E7,B78A1E,B7,Text_0E7_Dialog_TeeHeeKissIfDrink,Dialog,Tee-hee...I'll kiss you if you can drink it.
0E8,B78A7C,B7,Text_0E8_Shop_BarAhaWantSeeMe,Sign,Why are you here at this bar? ...Aha: you want to see me.
0E9,B78AFC,B7,Text_0E9_Dialog_GetCoolNight,Dialog,It doesn't get cool at night.
0EA,B78B42,B7,Text_0EA_Dialog_ThanksLotToday,Dialog,Thanks a lot for today.
0EB,B78B72,B7,Text_0EB_Dialog_LikeAlone,Dialog,I don't like to be alone.
0EC,B78BA6,B7,Text_0EC_Sign_SometimesGoMountainsGatherSome,Sign,I sometimes go to the mountains to gather some berries.
0ED,B78C28,B7,Text_0ED_Animal_WasntColdOutsideColdBetter,Animal,Wasn't it cold outside? When it's cold: you better drink and warm you body from the inside.
0EE,B78CEA,B7,Text_0EE_Dialog_SawRanchOtherDayNoticeme,Dialog,I saw you at the ranch the other day. You didn't noticeme because you were working.
0EF,B78D94,B7,Text_0EF_Dialog_StandAloneinHugePlaceFeel,Dialog,I couldn't stand to be alonein that huge place. Don't you feel lonely there? Sometimes Not at all<CHOICE_OR_WAIT>c
0F0,B78E84,B7,Text_0F0_Weather_MuchBetterHaveSomeoneAround,Weather,"It's much better to have someone around me and say ""yeah:"" when I say "" the weather is fine."" Feel secure: don't you ? I think it's better than being alone. Right?"
0F1,B78FE8,B7,Text_0F1_Dialog_SureLiveAloneButitsLike,Dialog,Sure: you can live alone butit's just like breathing: you know? It's lonely...
0F2,B7908A,B7,Text_0F2_Dialog_OneWhoSupposedWorkRanch,Dialog,Hello. You are the one who is supposed to work at this ranch today. What's your name?
0F3,B79138,B7,Text_0F3_Shipping_MrEjChargeShippingCome,Shipping,Mr.<CTRL_FFFD>ej:I'm in charge of shipping here. I come here every evening to pick up stuff you put in the shipping box. Nice to meet you. Oh yeah: ask anything you want to people in town. It will help you.
0F4,B792E6,B7,Text_0F4_Dialog_ManagingTheranchAloneSeparatelyParents,Dialog,"Hello. Where are you from?...You are managing theranch alone: separately from your parents? Great, There's nothing here in the ranch: is there?...for practice? You have wonderfulparents."
0F5,B7946E,B7,Text_0F5_Town_MayorTownPleasureMeetSome,Town,Hi: How do you do? I'm the mayor of this town. It's a pleasure to meet you. There are some tools left inthe shed that your grandfather used to use. And a book on how to use them:too.
0F6,B795F8,B7,Text_0F6_Animal_GrandfatherHelpedMeThoseDays,Animal,Your grandfather helped me in those days. If you have any problems: don't hesitate to talk to me. Well:you should get some rest when you get back home.
0F7,B7973C,B7,Text_0F7_Church_HardButGiveUpYeah,Church,How do you do? Hard:isn't it? But don't give up..................Oh:yeah I have a daughter....she maybe at the church.
0F8,B7982E,B7,Text_0F8_Romance_CuteGirlLonghair,Romance,She is a cute girl with longhair.
0F9,B79872,B7,Text_0F9_Romance_HaventSeenBeforeComeRanch,Romance,I haven't seen you before. Did you come to that ranch? I'm Maria. Nice meeting you.
0FA,B7991C,B7,Text_0FA_Dialog_MayHardFirstButGive,Dialog,It may be hard at first but don't give up.
0FB,B79972,B7,Text_0FB_Town_HeardSomethingHeardFaintSound,Town,"I've heard something, I've heard a faint sound of laughter behind the trees in the ranch. And some people talking:too, ...What was that?"
0FC,B79AAA,B7,Text_0FC_Dialog_HeHello,Dialog,He..Hello.
0FD,B79AC0,B7,Text_0FD_Sign_PriestChurchAskQuestionsPeople,Sign,How do you do? I'm the priest of this church. Ask questions to people at the shop. They know many things. And for the rest: check the signboards.
0FE,B79C02,B7,Text_0FE_Dialog_YoullHavePlentyChallengesBut,Dialog,You'll have a plenty of challenges but things will be better for sure. Please stick to it.
0FF,B79CC2,B7,Text_0FF_Town_YearOverTodayWasYear,Town,This year is over today. What was your year like? Well:this town will be in a festive mood tomorrow because lots of people are going to the top to see the sun rise.
100,B79E1E,B7,Text_100_Sign_ShippingBoxLivestockAfterTalking,Sign,"""Shipping box for livestock""After talking at the shop: put livestock in here. Livestock Dealer"
101,B79EDE,B7,Text_101_Manual_ToolsShedPenPickUp,Manual,Tools are in the shed and the pen. Pick them up with A button to get equipped. To use them: push Y button.
102,B79FBA,B7,Text_102_Dialog_UnfortunatelyTheresNothingSaleBut,Dialog,Unfortunately: there's nothing for sale here but there will be soon. So please drop by in a while.
103,B7A098,B7,Text_103_Romance_HehOwnerRanchAnnNice,Romance,Heh: you are the owner of the ranch. I'm Ann. Nice to meet you.
104,B7A12C,B7,Text_104_Diary_StaminaDecreasesUseToolsEat,Diary,Stamina decreases when you use tools. Eat food or sleep in the bed to recover.
105,B7A1D6,B7,Text_105_Manual_WentRanchIfGoingRaise,Manual,You went to the ranch: didn't you? If you are going to raise crops there: I'll give this to you. It's a watering can. It's for getting water from the pond. I'll bring itto your shed.
106,B7A370,B7,Text_106_Manual_VegetableSeedsSoonComeAgain,Manual,Vegetable seeds will be in soon so come again soon.
107,B7A3DA,B7,Text_107_Romance_NinaTheseCropsMustSowed,Romance,How do you do? I'm Nina. These crops must be sowed during a certain season. They won't germinate unless you sow them in the proper season.
108,B7A4FC,B7,Text_108_Dialog_HavePlowGroundMakeField,Dialog,And you have to plow the ground well to make it a field.
109,B7A57A,B7,Text_109_Romance_WelcomeYoudBetterEatEveryday,Romance,Welcome. You'd better eat everyday: you know. Stamina is key.
10A,B7A5FA,B7,Text_10A_Dialog_MustHardKnowButtryBest,Dialog,It must be hard: I know: buttry your best.
10B,B7A650,B7,Text_10B_Dialog_PuffHicHaveSeenBefore,Dialog,Puff...hic..Have I seen you before?
10C,B7A698,B7,Text_10C_Animal_SonHaveHaveMeadowBuy,Animal,"Hey:son, You have to have a meadow to buy livestock. Not only for cows but also for chickens. I have some grass left so use it to raise them. I'll bring it to your shed. Talk to me over the counter when you want to buy l"
10D,B7A878,B7,Text_10D_Animal_FirstMustHavePlentyGrass,Animal,First:you must have a plenty of grass when you raise livestock. Beginners should start off with chickens.
10E,B7A960,B7,Text_10E_Manual_HowdyPutThoseCowsPen,Manual,"Howdy, I put those cows in the pen and gave those bellsfor free. Well:first thing to do is toname them with affection.Take good care of them,"
10F,B7AA7E,B7,Text_10F_Shipping_WanderingPeddlerHaveAnythingSell,Shipping,Hello. I'm a wandering peddler.I don't have anything to sell right now though. If you want to sell something: bring it to me so I can buy it.
110,B7ABB4,B7,Text_110_Romance_GirlsTownAllCuteGood,Romance,Girls in this town are all cute and good-natured so it may be fun to be here.
111,B7AC52,B7,Text_111_Animal_HohohoMisterKnowBeginFirst,Animal,Hohoho...Mister: you don't know what to begin with:do you? First:you must learn how to use those tools with the book in the shed. The rest: ask the florist about the crops and the livestock dealer about livestock.
112,B7AE14,B7,Text_112_Animal_OverextendYourselfTiredGoBed,Animal,Don't overextend yourself. When you are tired: just go to bed earlier. The healthy body is your precious asset. Try your best to become an independent rancher.
113,B7AF62,B7,Text_113_Weather_MrsFortuneTellersWordsAlways,Weather,Mrs.Fortune-teller's words always prove right. Just like the weather fore cast on TV.
114,B7B016,B7,Text_114_Romance_EllenNiceMeeting,Romance,Oh:hi:I'm Ellen. Nice meeting you.
115,B7B068,B7,Text_115_Dialog_HeirRanchWonderIfManage,Dialog,What? Are you the heir of the ranch? I wonder if you can manage it. Young men these days have little guts.
116,B7B148,B7,Text_116_Sign_BarClosedTodayUsuallyOpen,Sign,Hello. The bar is closed today. It's usually open except Sunday though.
117,B7B1E4,B7,Text_117_Dialog_GoingBackRanchYetC,Dialog,Are you going back to the ranch? Yes Not yet<CHOICE_OR_WAIT>c
118,B7B276,B7,Text_118_Weather_ThenGiveLiftTraineeShipping,Weather,"Then:I'll give you a lift. I'm a trainee of shipping too. Let's do our best to achieveeach other's goal. With grit,"
119,B7B376,B7,Text_119_Animal_LetMeKnowGoHome,Animal,OK.Let me know when you go home.
11A,B7B3BA,B7,Text_11A_Dialog_SuggestListenVillagersLittleMore,Dialog,I suggest you listen to the villagers a little more.
11B,B7B42C,B7,Text_11B_Romance_YouveComeHauntedRanchTee,Romance,You've come to that haunted ranch? Tee:hee...good luck. I'm Eve:nice to meet you. Here you are: it's from me.
11C,B7B508,B7,Text_11C_Dialog_BestThingRecoverFatigueRelax,Dialog,The best thing to recover from fatigue is to relax.
11D,B7B574,B7,Text_11D_Dialog_WelcomeMakeYourselfHome,Dialog,Welcome.Make yourself at home.
11E,B7B5B8,B7,Text_11E_Shop_EveDrawingCardBarPretty,Sign,That's Eve:the drawing card of this bar. Isn't she pretty? That's because she is my niece.
11F,B7B67E,B7,Text_11F_Dialog_StillFine,Dialog,No...I'm still fine.
120,B7B6A8,B7,Text_120_Romance_GoodEveningFanEvesKnow,Romance,Good evening. I'm a fan of Eve's:you know.
121,B7B700,B7,Text_121_Romance_EveWorksNightSupposeKinda,Romance,Eve works at night so I suppose she kinda misses people her age. Mr.<CTRL_FFFD>ek:right? Will you comehere as much as you can?
122,B7B7F8,B7,Text_122_Sign_EveLostParentsHergrandfatherWho,Sign,Eve lost her parents and hergrandfather who is a hunter brought her up. Her grandfather locks himself in the mountain and hardly comes down to the town.
123,B7B936,B7,Text_123_Romance_MayMissHimTooBut,Romance,She may miss him too...but she's always cheerful. Such a nice girl.
124,B7B9CA,B7,Text_124_Dialog_KoroWait,Dialog,"Koro, Wait,"
125,B7B9E2,B7,Text_125_Animal_PuffPuffRunSuddenlyMr,Animal,Puff-puff...Don't run suddenly.Oh:you.You are the Mr. Rancher everybody's talking about. Well:excuse me:..will you please keep this dog for me? My house is a grocery store so my mom doesn't allow me to keep this dog...so
126,B7BBD2,B7,Text_126_Dialog_ThankVeryMuchHaveNew,Dialog,"Thank you very much, You have a new house:<CTRL_FFFD>el You've got to be a good boy. Take care."
127,B7BC90,B7,Text_127_Dialog_NewcomerRancherSomethingYoungBoy,Dialog,Hey:you are a newcomer here. Really:a rancher? That's something. For a young boy like you.
128,B7BD58,B7,Text_128_Animal_CarpentersComeUsWantEnlarge,Animal,We are carpenters. Please come to us when you want to enlarge your house.
129,B7BDF0,B7,Text_129_Sign_ExtensionHouseCallUsHave,Sign,For the extension of your house:please call us when you have enough wood for it. See: there's a sign by the house.Check it out.
12A,B7BEF8,B7,Text_12A_Dialog_NowExtensionCampaignIfEnlargeyour,Dialog,Now it's an extension campaign. If you can enlargeyour house by the end of summer: you will get a special gift for free.
12B,B7C000,B7,Text_12B_Mountain_AnglerLivePerfectFreedomBetter,Sign,I'm an angler. I live in perfect freedom. You' better forget your work and spend some quiet time: once in a while: enjoying things like fishing.
12C,B7C14C,B7,Text_12C_Mountain_PrepareFishingRodNextTime,Sign,I'll prepare a fishing rod for you next time.
12D,B7C1AA,B7,Text_12D_Dialog_WhatsUpHowsWorkGoing,Dialog,Hi:what's up?. How's your work going?
12E,B7C1FA,B7,Text_12E_Sign_GatherMaterialsChoppingLogsMountain,Sign,You can gather materials by chopping logs in the mountain.
12F,B7C27E,B7,Text_12F_Dialog_AlsoUseMaterialsFenceAlways,Dialog,You can also use materials for the fence so you should always gather them.
130,B7C316,B7,Text_130_Dialog_WantEnlargeHouseC,Dialog,Do you want to enlarge your house? Yes No<CHOICE_OR_WAIT>c
131,B7C39E,B7,Text_131_Dialog_RanchTomorrow,Dialog,OK.I'll be at the ranch tomorrow.
132,B7C3EA,B7,Text_132_Animal_LetMeKnowWheneverWant,Animal,Let me know whenever you want to do it.
133,B7C440,B7,Text_133_Dialog_LikeLivingSuperDeluxeGreat,Dialog,"How do you like living in the ""Super Deluxe Great Log House""? Isn't it great?"
134,B7C4E0,B7,Text_134_Dialog_CostsGEnlargeHouseTake,Dialog,It costs <$00B7><CTRL_B2><CTRL_B2><CTRL_B2>G to enlarge your house. Take it? Yes No Money <CTRL_FFFC>hi<CTRL_B2>G<CHOICE_OR_WAIT>c
135,B7C5D0,B7,Text_135_Dialog_AlrightStartOffTomorrow,Dialog,Alright.We'll start off tomorrow.
136,B7C61C,B7,Text_136_Dialog_CallMeAgainAnyTime,Dialog,Oh...OK.Call me again any time.
137,B7C660,B7,Text_137_Sign_MyGodTheresEnoughMaterials,Sign,"Oh my God, There's not enough materials. Hey:listento me very carefully, We don't want to do half-finished work, We can't start without enough materials. You'll see what you need on that sign there so getting them is the"
138,B7C88E,B7,Text_138_Manual_ChopStumpsAxeMakeMaterials,Manual,Chop stumps with an axe to make them materials.It takes you about <$00B8> hits to chop them down.
139,B7C952,B7,Text_139_Dialog_HeeHeeLookForward,Dialog,Hee-hee:look forward to it.
13A,B7C98C,B7,Text_13A_Dialog_BuildTerrificOneLookForward,Dialog,"I'll build a terrific one, Look forward to it."
13B,B7C9EC,B7,Text_13B_Dialog_CostsGEnlargeHouseTake,Dialog,It costs <CTRL_B3><CTRL_B2><CTRL_B2><CTRL_B2><CTRL_B2>G to enlarge your house. Take it? Yes No Money <CTRL_FFFC>hj<CTRL_B2>G<CHOICE_OR_WAIT>c
13C,B7CADC,B7,Text_13C_Dialog_Have,Dialog,Oh no:just do what you have to do.OK?
13D,B7CB28,B7,Text_13D_Romance_LookExcellentHouseCalledSuper,Romance,"Look:isn't it an excellent house? It's called ""Super Log House."""
13E,B7CBB0,B7,Text_13E_Romance_WhatsHappenedEveTonight,Romance,What's happened to Eve tonight?
13F,B7CBFA,B7,Text_13F_Shipping_NinasMotherCollapsedFromfeverSell,Shipping,Nina's mother collapsed fromfever. I can't sell tools while Dad is out nursing her.
140,B7CCA6,B7,Text_140_Romance_FinishedLookSuperDeluxeGreat,Romance,"It's finished, Look at this the ""Super Deluxe Great Log House"",, Even if I do fall in love with it.See you."
141,B7CD82,B7,Text_141_Dialog_SayHeardRareSeedGrows,Dialog,Say:I've heard of a rare seed.It grows to be a tall bean tree that reaches all the way to the sky. I want to see it.
142,B7CE7C,B7,Text_142_Sign_WasScaredEarthquakeMorningCome,Sign,"Hi,I was scared by the earthquake this morning. Come up to the mountain after checking out the ranch."
143,B7CF62,B7,Text_143_Romance_LikeNina,Romance,.....Do you like...Nina?
144,B7CF94,B7,Text_144_Dialog_TodayLastDayYearSeems,Dialog,Today is the last day of this year. It seems long enough but at the same time:it flies by quickly too.
145,B7D074,B7,Text_145_Dialog_ScheduledDateHasAlreadyPassed,Dialog,Scheduled date has already passed now. I have to let them in the shed right away.
146,B7D11E,B7,Text_146_Animal_LongWinterFinallyOverAnimals,Animal,Hey:the long winter is finally over. Animals looks so happy when springs comes too.
147,B7D1D0,B7,Text_147_Dialog_YeahFeltDizzy,Dialog,...yeah:I'm OK.I just felt dizzy...
148,B7D21A,B7,Text_148_Animal_WanderingHawkerTodayHaveVery,Animal,I'm a wandering hawker. Today:I have very rare berries. Take one bite:and you'll be full of vitality.This is a special offer: I can exchange some for a chicken over there. Exchange Not exchange<CHOICE_OR_WAIT>c
149,B7D3E0,B7,Text_149_Animal_WanderingHawkerTodayHaveVery,Animal,I'm a wandering hawker. Today:I have a very rare bean seed. You'll see the wonder when you plant it in the soil. I can exchange it with one of your cows. It's a bargain. Exchange Not exchange<CHOICE_OR_WAIT>c
14A,B7D5BA,B7,Text_14A_Animal_ThenCowNowMineHawker,Animal,Well then:this cow is now mine. The hawker is glad. See you.
14B,B7D63C,B7,Text_14B_Sign_CowMineNowPutSeed,Sign,OK:this cow is mine now. I've put the seed in you shed. Plant it on the top of the mountain. Something good will definitely happen. See you.
14C,B7D76A,B7,Text_14C_Dialog_HardheartedCustomerWanderingHawkerHawker,Dialog,You are a hardhearted customer.I'm a wandering hawker. This hawker is very sad. Good-bye.
14D,B7D836,B7,Text_14D_Shop_PeddlerWindSeedTreeGrows,Sign,I'm a peddler of the wind. This is the seed of a tree that grows money. Plant it in the ground: you'll be surprised.Mister: you're buying something good. It's only <CTRL_B4><CTRL_B2><CTRL_B2><CTRL_B2><CTRL_B2>G. Buy it N
14E,B7DA28,B7,Text_14E_Dialog_NowPlantedMisterLookForward,Dialog,Now:I've planted it. Mister:look forward to today.
14F,B7DAA6,B7,Text_14F_Dialog_SureGuaranteeRegretRestLife,Dialog,Are you sure? I guarantee that you will regret this for the rest of your life.
150,B7DB4C,B7,Text_150_Weather_ToughWeatherGloomy,Weather,Hey: it's tough when the weather is gloomy.
151,B7DBAA,B7,Text_151_Dialog_BusyBusy,Dialog,I'm busy: busy.
152,B7DBCA,B7,Text_152_Dialog_WayBackConnectedWorldBelow,Dialog,It's the way back. It's connected to the world here below.
153,B7DC48,B7,Text_153_Dialog_GoodLordWhatsHappeningPlace,Dialog,Good Lord: what's happening here? Hey: Is your place alright?
154,B7DCCA,B7,Text_154_Weather_SayHurricaneComingTomorrow,Weather,They say a hurricane is coming here tomorrow.
155,B7DD2E,B7,Text_155_Dialog_WindBlowingHarderMakesMe,Dialog,The wind is blowing harder and that makes me scared.
156,B7DD9A,B7,Text_156_Weather_SkyLooksThreateningProbablyHave,Weather,Oh well: the sky looks threatening. We'll probably have a hurricane tomorrow.
157,B7DE40,B7,Text_157_Weather_KnowButGetExcitedSomething,Weather,I don't know why but I get excited when something like a hurricane comes.Don't you?
158,B7DEEA,B7,Text_158_Weather_WindBlowingHarderNowLike,Weather,The wind is blowing harder now. I don't like hurricanes.
159,B7DF72,B7,Text_159_Weather_RainButHurricaneBecauseBlows,Weather,Rain is OK but not hurricane. Because it blows flowers away.
15A,B7DFFE,B7,Text_15A_Weather_YoudBetterPrayGodDamage,Weather,You'd better pray to God that there is no damage fromthe hurricane. Trust me.
15B,B7E0A0,B7,Text_15B_Weather_SonHurricaneGettingNearHave,Weather,Hey:son:the hurricane is getting near. Have you put your livestock in the pen? Sure I Forgot<CHOICE_OR_WAIT>c
15C,B7E194,B7,Text_15C_Romance_KnowEvenIfYoung,Romance,You know what to do even if you are young.
15D,B7E1EA,B7,Text_15D_Dialog_IdiotDoingGoHomePut,Dialog,Are you an idiot? What are you doing here? Go home and put them in the penright now.
15E,B7E296,B7,Text_15E_Weather_HangingAroundKnowHurricaneComing,Weather,What are you hanging around here for? Don't you know a hurricane is coming?
15F,B7E330,B7,Text_15F_Animal_HavePutLivestockPenLets,Animal,Have you put the livestock in the pen? Let's lock the doors later and go to bed.
160,B7E3D6,B7,Text_160_Dialog_ImpossibleGoOutToday,Dialog,It's impossible to go out today.
161,B7E41C,B7,Text_161_Weather_ThankGodWasOnlySlight,Weather,Thank God that there was only slight damage from the hurricane.
162,B7E4A2,B7,Text_162_Weather_ThinkPreciousWeatherCockWas,Weather,I think the precious weather-cock was blown away.
163,B7E514,B7,Text_163_Romance_GladEverybodyFine,Romance,I'm glad everybody is fine.
164,B7E54C,B7,Text_164_Dialog_RanchAlright,Dialog,Is your ranch alright?
165,B7E57A,B7,Text_165_Dialog_WasAwfulOursAlright,Dialog,That was awful. Yes: ours is alright.
166,B7E5CA,B7,Text_166_Dialog_LetsLookAroundRanchTrouble,Dialog,Let's look around the ranch.There will be trouble if thefences are broken.
167,B7E660,B7,Text_167_Dialog_EarthquakeLastNightRegisteredRichter,Dialog,The earthquake last night registered <$00B6> on the richter scale. The damage is not serious.
168,B7E714,B7,Text_168_Dialog_YoudBetterInspect,Dialog,You'd better inspect here and there.
169,B7E762,B7,Text_169_Dialog_EarthquakeNotice,Dialog,What? An earthquake? I didn't notice it.
16A,B7E7C2,B7,Text_16A_Sign_WonderMyGrandpaDoingLot,Sign,I wonder how my grandpa is doing. There are a lot of areas to collapse spots in the mountain so I'm worried about him.
16B,B7E8C0,B7,Text_16B_Dialog_WasSurprisedRanchAlright,Dialog,I was surprised.Is your ranch alright?
16C,B7E916,B7,Text_16C_Weather_CowsSimpleKeepOutGround,Weather,Cows are simple. So don't keep them out on the ground when it rains: snows: and a hurricane comes.
16D,B7E9E0,B7,Text_16D_Romance_SeemsChangesEverywhereCausedEarthquake,Romance,It seems there are changes everywhere caused by the earthquake. We were just talking of going to look around.
16E,B7EACC,B7,Text_16E_Dialog_BigRockOutCollapsedEarthquake,Dialog,The big rock out there collapsed by the earthquake.Did you know that?
16F,B7EB62,B7,Text_16F_Dialog_WasPrettySurprised,Dialog,Oh yes:I was pretty surprised.
170,B7EBB0,B7,Text_170_Dialog_ListenGoThroughRock,Dialog,Hey:listen: we can go through the rock.
171,B7EC0C,B7,Text_171_Dialog_MightAbleGoEndRanch,Dialog,It might be able to go to the end of the ranch faster through here. But time still goes on.
172,B7ECC8,B7,Text_172_Animal_HaveSeenMoleScaresCows,Animal,Have you seen a mole?It scares the cows sometimes. You'd better kick it out of the fence right away.
173,B7ED9C,B7,Text_173_Dialog_Happy,Dialog,I'm happy....
174,B7EDB8,B7,Text_174_Dialog_HaventThoughtAboutitYet,Dialog,Well:I haven't thought aboutit yet...
175,B7EE04,B7,Text_175_Dialog_SureMe,Dialog,...Are you sure? Me?
176,B7EE2E,B7,Text_176_Dialog_YoureKidding,Dialog,You're kidding...
177,B7EE52,B7,Text_177_Dialog_YesYou,Dialog,"Yes, You,"
178,B7EE66,B7,Text_178_Dialog_AfraidTooEarly,Dialog,I'm afraid it's too early...
179,B7EEA0,B7,Text_179_Dialog_WhatYes,Dialog,What? ......Yes.
17A,B7EEC2,B7,Text_17A_Dialog_AllTooSuddenKnow,Dialog,It's all too sudden so I don't know what to do...
17B,B7EF2C,B7,Text_17B_Dialog_TitterAlrightSay,Dialog,Titter...alright. I say OK.
17C,B7EF64,B7,Text_17C_Dialog_StillTooEarly,Dialog,Well: It's still too early.
17D,B7EF9C,B7,Text_17D_Dialog_GoodMorningDaDarlingHappy,Dialog,Good morning....da-darling. Be happy together from now on.
17E,B7F01C,B7,Text_17E_Dialog_JmClCnGo,Dialog,<CTRL_FFFD>jm:<CTRL_FFFC>cl<CTRL_FFFD>cn of <CTRL_FFFD>go.
17F,B7F044,B7,Text_17F_Dialog_TooLate,Dialog,Don't be too late.
180,B7F06A,B7,Text_180_Dialog_ThankTroubleDarling,Dialog,Thank you for your trouble: darling.
181,B7F0B4,B7,Text_181_Diary_WorkHardTodayToo,Diary,Please work hard today:too.
182,B7F0EC,B7,Text_182_Dialog_GotMyBestTodayalso,Dialog,I've got to do my best todayalso.
183,B7F130,B7,Text_183_Diary_WorkHardGiveHouseGood,Diary,I'll work hard to give the house a good shine.
184,B7F190,B7,Text_184_Dialog_StrangeSameSkyButWind,Dialog,It's strange. It's the same sky but the wind and the airfeel different.
185,B7F220,B7,Text_185_Dialog_TryMyBestMakeSomething,Dialog,I'll try my best to make something that will help you.
186,B7F29A,B7,Text_186_Dialog_TakeCareThoseToolsToo,Dialog,I'll take care of those tools too. .....Don't worry. I won't break any.
187,B7F354,B7,Text_187_Animal_AutoMilkingYogurtMakerSpecial,Animal,"""Auto Milking <$0040> Yogurt-Maker: Special Version"" I wish it would be finished by spring..."
188,B7F416,B7,Text_188_Dialog_TimeGoesQuicklyFeelLike,Dialog,Time goes by really quickly.I feel like I met you only afew days ago.
189,B7F4A2,B7,Text_189_Weather_WeatherBeautifulLetsGoPicnic,Weather,The weather is beautiful. Let's go on a picnic to the mountain top soon.
18A,B7F538,B7,Text_18A_Dialog_LaLaLaLaLa,Dialog,La-la-la-la-la... The sky is blue. I somehow feel cheerful.
18B,B7F5C6,B7,Text_18B_Sign_MysteriousFlowerMountainSomedayDreaming,Sign,That mysterious flower in the mountain:someday I'm dreaming of growing them at the ranch.
18C,B7F684,B7,Text_18C_Dialog_GoodMorningSweetheartWasSparrow,Dialog,Good morning: sweetheart. There was a sparrow playing in front of our house some minutes ago. It was so cute.
18D,B7F778,B7,Text_18D_Romance_WantCookDeliciousMealsEvery,Romance,I want to cook delicious meals for you every day.
18E,B7F7E2,B7,Text_18E_Dialog_EpMayDescendedOfaThoroughbred,Dialog,<CTRL_FFFD>ep may be the descended ofa Thoroughbred. Don't you think so? It has a pretty fine coat of hair.
18F,B7F8C2,B7,Text_18F_Dialog_SpringWonderful,Dialog,Yes:spring is wonderful.
190,B7F8F4,B7,Text_190_Dialog_GraduallyGettingUsedLivingLonely,Dialog,Gradually I am getting used to living here. What? Am I lonely? Oh:come on:you are here beside me.
191,B7F9C2,B7,Text_191_Sign_ManyKindsAnimalsMountainGive,Sign,There are many kinds of animals in the mountain. Doesnt' that give you comfort?
192,B7FA70,B7,Text_192_Romance_CookEvening,Romance,What should I cook this evening?
193,B7FABA,B7,Text_193_Dialog_HoneyWork,Dialog,Honey: please work well.
194,B7FAEC,B7,Text_194_Dialog_SundaysRanch,Dialog,There are no Sundays at ranch.
195,B7FB32,B7,Text_195_Dialog_WarmSuchComfortableSunday,Dialog,It's warm. Such a comfortable Sunday.
196,B7FB92,B7,Text_196_Dialog_WorkDayLike,Dialog,Do you work on a day like this?
197,B7FBD6,B7,Text_197_Weather_RainingHardOutsideMightCatch,Weather,It's raining so hard outside. You might catch cold.
198,B7FC52,B7,Text_198_Weather_SnowHardlyWaitforSpring,Weather,"What snow, I can hardly waitfor spring."
199,B7FCA2,B7,Text_199_Dialog_QuietLikeTimeStops,Dialog,It's so quiet. Just like time stops.
19A,B7FCF2,B7,Text_19A_Dialog_GoingBackMyParentsHome,Dialog,"I'm going back to my parents' home,"
