group,entry,target,pass79_proposed_alias,direct_dialog_cmds,unique_text_ids,top_categories,top_roles,confidence,sample_text_labels,sample_previews
$0B,10,$B3EEEA,EventScript_G0B_Entry010_HouseUpgradeHouseUpgradeFamily,1,1,Dialog:1,house_upgrade_or_family_context:1,medium_single_text_anchor,Text_12A_Dialog_NowExtensionCampaignIfEnlargeyour,Now it's an extension campaign. If you can enlargeyour ...
$15,0,$B48C45,EventScript_G15_Entry000_EveLivestockRanchLivestock,7,6,Dialog:6 Manual:1,npc_or_event_dialogue:5 ranch_livestock_context:2,high_text_named,Text_327_Manual_RanchUseSickleTheshedHows Text_328_Dialog_WowMadeHappyMakeBetter Text_329_Dialog_UseMadeAllMyEnergy Text_32A_Dialog_ByeBye Text_325_Dialog_HasRanchBecomeLively Text_32A_Dialog_ByeBye,"Hey:are you from the ranch? Do you use the sickle in th... | Wow, I made it.I'm so happy.I'll make it better. Look f... | Really? Don't you use it? I made it with all my energy,"
$24,0,$B4A475,EventScript_G24_Entry000_EveFestivalWeather,6,6,Animal:3 Festival:3,festival_event:6 weather_context:6 festival_or_title_context:1,high_text_named,Text_272_Animal_FlowerFestivalTomorrowStopWork Text_240_Animal_HarvestFestivalTomorrowStopWork Text_28E_Festival_ThanksgivingFestivalTomorrowAllHusbands Text_26E_Festival_StarNightFestivaltomorrowCoupleofPlaces Text_289_Festival_NewYearsFestivaltomorrowSayThelast Text_274_Animal_EggFestivalTomorrowStopWork,It's the Flower Festival tomorrow. I'll stop work earli... | The Harvest Festival is tomorrow.I'll stop work earlier... | It's the Thanksgiving Festival tomorrow. It's for all t...
$24,1,$B4A531,EventScript_G24_Entry001_EveEventDialogSign,1,1,Sign:1,event_dialogue_unknown_specific_owner:1,medium_single_text_anchor,Text_47F_Sign_DoingMakingGreatThingNow,"Hey:how are you doing? I'm making a great thing now, It..."
$24,2,$B4A55D,EventScript_G24_Entry002_Eve,1,1,Dialog:1,npc_or_event_dialogue:1,medium_single_text_anchor,Text_486_Dialog_HeardAwfulSoundMorningAll,I heard an awful sound from here this morning. Are you ...
$24,3,$B4A589,EventScript_G24_Entry003_EveEventDialogSign,1,1,Sign:1,event_dialogue_unknown_specific_owner:1,medium_single_text_anchor,Text_142_Sign_WasScaredEarthquakeMorningCome,"Hi,I was scared by the earthquake this morning. Come up..."
$26,0,$B4A62D,EventScript_G26_Entry000_Eve,4,3,Dialog:4,npc_or_event_dialogue:4,high_text_named,Text_241_Dialog_WelcomePutBroughtStewNow Text_243_Dialog_NowWaitUntilDone Text_242_Dialog_BringAnythingAlright Text_243_Dialog_NowWaitUntilDone,Welcome.Put what you brought in the stew now. | Now:wait until it's done. | Oh no:you didn't bring anything. Alright.
$43,0,$B58020,EventScript_G43_Entry000_AnnEveLivestock,37,37,Dialog:29 Romance:2 Festival:2 Animal:1,npc_or_event_dialogue:21 house_upgrade_or_family_context:3 child_family_event:3 ranch_livestock_context:2 house_upgrade_context:2,high_text_named,Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_3B2_Dialog_ThankLooksDelicious Text_3B5_Dialog_GladGivingMeNeatPresent Text_1D9_Dialog_Rude Text_212_Dialog_WowThanksLotMmmmSmells,Thank you. | ......Th-thank you. | Thank you. It looks delicious.
$43,1,$B584DA,EventScript_G43_Entry001_AnnEveLivestock,37,35,Dialog:28 Romance:2 Animal:2 Festival:2,npc_or_event_dialogue:21 child_family_event:3 house_upgrade_context:2 festival_event:2 weather_context:2,high_text_named,Text_200_Dialog_Thank Text_3B4_Dialog_PlayingNastyTrickMe Text_212_Dialog_WowThanksLotMmmmSmells Text_3B2_Dialog_ThankLooksDelicious Text_3B4_Dialog_PlayingNastyTrickMe Text_212_Dialog_WowThanksLotMmmmSmells,Thank you. | Are you playing a nasty trick on me? | Wow:thanks a lot. Mmmm:it smells so good.
$43,2,$B58990,EventScript_G43_Entry002_AnnEveLivestock,37,35,Dialog:29 Romance:2 Weather:2 Animal:1,npc_or_event_dialogue:21 child_family_event:4 event_dialogue_unknown_specific_owner:2 house_upgrade_context:2 wife_family_event:2,high_text_named,Text_200_Dialog_Thank Text_3B1_Dialog_PickUpHerbsWithoutThinking Text_212_Dialog_WowThanksLotMmmmSmells Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_3BA_Dialog_WhatIsThis,Thank you. | Don't pick up herbs without thinking what they are for. | Wow:thanks a lot. Mmmm:it smells so good.
$43,3,$B58E4E,EventScript_G43_Entry003_AnnEveLivestock,38,37,Dialog:30 Romance:3 Animal:2 Sign:2,npc_or_event_dialogue:19 child_family_event:3 family_romance_gift_context:2 ranch_livestock_context:2 house_upgrade_context:2,high_text_named,Text_200_Dialog_Thank Text_1D9_Dialog_Rude Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_3B3_Dialog_ThankNowBakeCake Text_3BA_Dialog_WhatIsThis,"Thank you. | How rude, | Thank you. It looks delicious."
$43,4,$B59313,EventScript_G43_Entry004_AnnEveLivestock,37,35,Dialog:28 Animal:2 Sign:2 Festival:2,npc_or_event_dialogue:21 event_dialogue_unknown_specific_owner:3 child_family_event:3 house_upgrade_context:2 festival_event:2,high_text_named,Text_200_Dialog_Thank Text_3B4_Dialog_PlayingNastyTrickMe Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_212_Dialog_WowThanksLotMmmmSmells Text_3BA_Dialog_WhatIsThis,Thank you. | Are you playing a nasty trick on me? | Thank you. It looks delicious.
$44,0,$B597F1,EventScript_G44_Entry000_AnnEveLivestock,24,24,Dialog:18 Festival:2 Romance:1 Animal:1,npc_or_event_dialogue:16 weather_context:3 festival_event:2 npc_ann_romance_or_family:1 family_romance_gift_context:1,high_text_named,Text_200_Dialog_Thank Text_3B0_Dialog_ThThank Text_3B2_Dialog_ThankLooksDelicious Text_3B5_Dialog_GladGivingMeNeatPresent Text_1D9_Dialog_Rude Text_212_Dialog_WowThanksLotMmmmSmells,Thank you. | ......Th-thank you. | Thank you. It looks delicious.
$44,1,$B599EB,EventScript_G44_Entry001_AnnEveLivestock,23,22,Dialog:17 Animal:2 Festival:2 Romance:1,npc_or_event_dialogue:13 ranch_livestock_context:2 event_dialogue_unknown_specific_owner:2 festival_event:2 npc_ann_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_3B4_Dialog_PlayingNastyTrickMe Text_212_Dialog_WowThanksLotMmmmSmells Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_1BD_Romance_PresentGladRememberedAnniversary,Thank you. | Are you playing a nasty trick on me? | Wow:thanks a lot. Mmmm:it smells so good.
$44,2,$B59BE3,EventScript_G44_Entry002_AnnEveLivestock,24,23,Dialog:17 Sign:3 Romance:1 Animal:1,npc_or_event_dialogue:14 event_dialogue_unknown_specific_owner:3 ranch_livestock_context:2 weather_context:2 npc_ann_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_3B1_Dialog_PickUpHerbsWithoutThinking Text_212_Dialog_WowThanksLotMmmmSmells Text_3B2_Dialog_ThankLooksDelicious Text_3BA_Dialog_WhatIsThis Text_212_Dialog_WowThanksLotMmmmSmells,Thank you. | Don't pick up herbs without thinking what they are for. | Wow:thanks a lot. Mmmm:it smells so good.
$44,3,$B59DD3,EventScript_G44_Entry003_AnnEveLivestock,25,24,Dialog:20 Sign:2 Romance:1 Animal:1,npc_or_event_dialogue:16 family_romance_gift_context:2 shop_or_purchase_context:2 npc_ann_romance_or_family:1 ranch_livestock_context:1,high_text_named,Text_200_Dialog_Thank Text_1D9_Dialog_Rude Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_3B3_Dialog_ThankNowBakeCake Text_3BA_Dialog_WhatIsThis,"Thank you. | How rude, | Thank you. It looks delicious."
$44,4,$B59FCA,EventScript_G44_Entry004_AnnEveLivestock,24,22,Dialog:16 Romance:2 Animal:2 Sign:2,npc_or_event_dialogue:13 ranch_livestock_context:2 event_dialogue_unknown_specific_owner:2 festival_event:2 npc_ann_romance_or_family:1,high_text_named,Text_200_Dialog_Thank Text_3B4_Dialog_PlayingNastyTrickMe Text_3B2_Dialog_ThankLooksDelicious Text_212_Dialog_WowThanksLotMmmmSmells Text_212_Dialog_WowThanksLotMmmmSmells Text_3BA_Dialog_WhatIsThis,Thank you. | Are you playing a nasty trick on me? | Thank you. It looks delicious.
$45,0,$B5A205,EventScript_G45_Entry000_EveFamilyGift,9,6,Dialog:9,npc_or_event_dialogue:8 family_romance_gift_context:1,high_text_named,Text_1C2_Dialog_BooBoo Text_1C2_Dialog_BooBoo Text_41D_Dialog_CelebrationEesBirthdayYearNow Text_41E_Dialog_WowCakeEfsBirthday Text_1D9_Dialog_Rude Text_1C0_Dialog_Dah,Boo-boo... | Boo-boo... | Celebration of <CTRL_FFFD>eE's birthday. It's been a ye...
$45,3,$B5A484,EventScript_G45_Entry003_EveFamilyGift,9,6,Dialog:9,npc_or_event_dialogue:8 family_romance_gift_context:1,high_text_named,Text_1C2_Dialog_BooBoo Text_1C2_Dialog_BooBoo Text_41D_Dialog_CelebrationEesBirthdayYearNow Text_41E_Dialog_WowCakeEfsBirthday Text_1D9_Dialog_Rude Text_1C0_Dialog_Dah,Boo-boo... | Boo-boo... | Celebration of <CTRL_FFFD>eE's birthday. It's been a ye...
$46,12,$B5A85D,EventScript_G46_Entry012_MariaAnnNina,23,23,Dialog:8 Romance:6 Shipping:4 Sign:3,ranch_livestock_context:6 shipping_context:4 npc_or_event_dialogue:3 house_upgrade_or_family_context:3 livestock_cow_context:2,high_text_named,Text_444_Dialog_MoneyHG Text_445_Animal_CowCChickenC Text_446_Dialog_StaminaD Text_44D_Shipping_AmountShippedTomatoesD Text_44E_Shipping_AmountShippedCornD Text_44F_Shipping_AmountShippedPotatoesD,Money <CTRL_FFFC>h-<CTRL_B2>G | Cow <CTRL_FFFC>c<$003F> Chicken <CTRL_FFFC>c<$0040> | Stamina <CTRL_FFFC>d:
$47,25,$B5C8EE,EventScript_G47_Entry025_Eve,1,1,Dialog:1,npc_or_event_dialogue:1,medium_single_text_anchor,Text_241_Dialog_WelcomePutBroughtStewNow,Welcome.Put what you brought in the stew now.
